sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
316,True,2601,2500,27.450772007113933,-2494.994944,59.87842912095224,0.33791942326938945,84,gradient,2.853091700002551,
317,True,2601,2500,45.06905061336255,-5194.039296,57.700166788897285,0.4451149903998596,95,sparse,3.259727099968586,
318,True,2601,2500,50.89730600610607,-2734.852352,58.561654212909616,0.8346105160855286,31,uniform,1.175557199981995,
319,True,2601,2500,72.89417374599549,-2905.600512,32.411665977366866,0.9047271965188513,54,bimodal,1.9242334999726154,
320,True,2601,2500,92.62776839750279,-4122.401024,53.48600034030791,0.7895849165710821,79,random,2.5470544999698177,
321,True,2601,2500,84.40234839344814,-3584.214272,48.056834338531814,0.9358158505731022,57,random,2.208387100021355,
322,True,2601,2500,51.784601421038865,-2390.417152,35.803044631247914,0.6332950847472014,55,bimodal,1.9725616000359878,
323,True,2601,2500,83.41405957954355,-4022.349056,34.75844525472296,0.8846341610382115,119,random,3.8073575000162236,
324,True,2601,2500,62.133566559190214,-2390.948352,33.54298323899971,0.7219978777467302,76,bimodal,2.5621720000053756,
325,True,2601,2500,60.697992209192364,-2988.723968,41.39953734829519,0.565954311265838,103,random,3.504600600048434,
326,True,2601,2500,27.737326067226054,-1282.820992,26.669112154677304,0.6693176684879502,46,sparse,1.7607157000456937,
327,True,2601,2500,42.498290076672575,-1945.066368,47.300601255516405,0.45734386701888385,78,uniform,2.590896200039424,
328,True,2601,2500,73.51878908509622,-3678.366464,57.471065312770286,0.5697119753906519,113,random,3.8988571999943815,
329,True,2601,2500,24.220646913684828,-1788.665856,33.33941737159764,0.48721442475702875,35,sparse,1.29925609997008,
330,True,2601,2500,97.42477205906474,-5402.83136,59.44248238063984,0.9462208962062257,113,bimodal,3.9512205999926664,
331,True,2601,2500,47.91808297255481,-2238.915584,36.89962004511035,0.54115925038603,64,bimodal,2.2618387000402436,
332,True,2601,2500,85.6816135475401,-3579.19232,29.553546117348066,0.8345866229426092,104,random,3.4974454999901354,
333,True,2601,2500,97.93659076411,-5524.931584,57.165063980621966,0.8820550447310007,119,sparse,4.050113999983296,
334,True,2601,2500,46.99711840109762,-2529.128704,40.58425590326022,0.5817841660290753,40,bimodal,1.6014093999983743,
335,True,2601,2500,64.02613527790481,-3281.770496,36.46821507238245,0.6254153294198285,75,bimodal,2.5834251000196673,
336,True,2601,2500,18.200237121560125,-2095.3984,58.057195235360304,0.5305797888752914,22,uniform,0.8558340999879874,
337,True,2601,2500,24.547753204622936,-1570.893952,26.005818323785082,0.5038616013419812,68,sparse,2.3969746999791823,
338,True,2601,2500,85.57979865701405,-3613.861888,51.31357867707249,0.9671634692938039,52,random,1.771556399995461,
